,sicbro_id,RA_DEG,DEC_DEG,MEAN_XCOL,MEAN_YCOL,F062,F087,F106,F129,F158,F184,F213,F146,transitHost,dimEB,blendedEB,lowmassEB,lowRedNoise,hiRedNoise,variable,F087_flux,F087_flux_err,F146_flux,F146_flux_err,F213_flux,F213_flux_err
49,15317,268.49396466699807,-29.20894121712831,2031.1225819482493,1872.8565670728087,22.1515,21.0516,20.6077,20.1638,19.902,20.0052,20.1084,20.048,0,0,0,0,0,0,0,393.37492049927687,19.833681466114072,991.3948719278951,31.486423612850906,937.7491262127173,30.62268972857736
50,16021,268.4922151379035,-29.20676523553424,1951.7438037301092,1910.7030839492736,23.615,22.2926,21.73,21.1674,20.9922,21.0613,21.1303,21.0899,0,0,0,0,0,0,0,125.43151508898897,11.199621202924185,379.7402816325818,19.486925915407536,365.86988859583875,19.12772565141603
51,16033,268.49087832372834,-29.20736958554872,1928.2590500155115,1872.84280248578,26.0619,24.426,23.6808,22.9356,22.7359,22.7879,22.8398,22.8366,0,0,0,0,0,0,0,17.58112525988805,4.192985244415731,75.99878831136543,8.717728391695019,75.7751261673615,8.704890933685586
52,16262,268.48802888723407,-29.20474913895566,1814.1153040548377,1907.27408130634,17.258,16.9316,16.8772,16.8229,16.922,17.0944,17.2668,16.9513,0,0,0,0,0,0,0,17490.67894921536,132.2523306003163,17176.18337965415,131.05793901803185,12844.779937838915,113.33481344158517
53,16469,268.4913900737905,-29.20887035509177,1965.648553975489,1836.314436071479,24.3532,22.9106,22.3242,21.7379,21.5084,21.5891,21.6698,21.6325,1,0,0,0,0,0,1,70.99155158034547,8.425648436787846,230.381004822766,15.178307047321384,222.60077301289093,14.91981142685426
54,16722,268.49115688279,-29.20655926275158,1921.9315538122123,1900.891522077745,23.6063,22.2429,21.7032,21.1635,20.9273,21.0044,21.0815,21.0526,0,0,0,0,0,0,0,131.3066338983013,11.458910676774703,393.0127756076033,19.82454982105781,382.6896072114141,19.562454018129067
55,16894,268.4874752599066,-29.20694024926949,1836.2125168994971,1834.4258778883632,18.2372,17.8508,17.7761,17.7014,17.7623,17.9309,18.0994,17.8054,1,0,0,0,0,0,1,7501.129585229743,86.60906179626785,7821.439100744116,88.43890038181227,5966.046969462379,77.24019011798443
56,17014,268.4907508341768,-29.20308683684161,1854.8552041281823,1997.0830889977728,23.878,22.5586,22.0369,21.5152,21.2507,21.3431,21.4356,21.3935,0,0,0,0,0,0,0,98.1763016878435,9.908395515311422,287.10890851834444,16.944288374503795,276.1891847794441,16.61894054323091
57,17024,268.49551636640194,-29.20424240759476,1992.8483581675853,2034.5497959487925,26.5391,24.8199,24.0351,23.2504,23.0713,23.1121,23.1528,23.1592,0,0,0,0,0,0,0,12.231695699598907,3.497384122397611,56.46335346576745,7.514210102583467,56.79716623909902,7.536389469706235
58,17180,268.49592502396354,-29.204775096646795,2011.7902681581447,2024.9899785852083,20.0837,19.393,19.0952,18.7974,18.5764,18.7158,18.8553,18.7206,0,0,0,0,0,0,0,1812.3691796541882,42.5719294800481,3366.717435816802,58.02342144183504,2973.902103962566,54.53349524799017
